,car_model,year_of_manufacture,price,fuel,Unnamed: 0
0,alto k10,2016,108.04,Petrol,
1,ignis,2017,185.76,Petrol,
2,sx4,2011,166.81,Petrol,
3,alto k10,2014,94.78,Petrol,
4,wagon r,2013,109.94,Petrol,
5,swift,2011,113.73,Petrol,
6,swift,2013,157.33,Petrol,
7,swift,2017,227.46,Petrol,
8,alto k10,2010,73.93,Petrol,
9,ciaz,2015,282.43,Diesel,
10,alto 800,2017,108.04,Petrol,
11,ciaz,2015,259.69,Diesel,
12,ciaz,2015,284.33,Petrol,
13,ertiga,2015,231.25,Petrol,
14,dzire,2009,85.3,Petrol,
15,ertiga,2016,293.81,Diesel,
16,ertiga,2015,274.85,Diesel,
17,ertiga,2016,293.81,Diesel,
18,wagon r,2015,123.21,CNG,
19,sx4,2010,100.46,Petrol,
20,ritz,2014,127.0,Petrol,
21,sx4,2013,180.07,Diesel,
22,ciaz,2017,274.85,Petrol,
23,wagon r,2011,108.04,Petrol,
24,swift,2014,174.39,Diesel,
25,vitara brezza,2018,350.67,Diesel,
26,ciaz,2015,255.9,Petrol,
27,s cross,2015,246.42,Diesel,
28,ciaz,2016,331.72,Diesel,
29,ciaz,2015,282.43,Diesel,
30,alto k10,2016.0,2.74,Petrol,0.0
31,ignis,2017.0,4.72,Petrol,1.0
32,sx4,2011.0,4.24,Petrol,2.0
33,alto k10,2014.0,2.41,Petrol,3.0
34,wagon r,2013.0,2.79,Petrol,4.0
35,swift,2011.0,2.89,Petrol,5.0
36,swift,2013.0,4.0,Petrol,6.0
37,swift,2017.0,5.78,Petrol,7.0
38,alto k10,2010.0,1.88,Petrol,8.0
39,ciaz,2015.0,7.17,Diesel,9.0
40,alto 800,2017.0,2.74,Petrol,10.0
41,ciaz,2015.0,6.6,Diesel,11.0
42,ciaz,2015.0,7.22,Petrol,12.0
43,ertiga,2015.0,5.87,Petrol,13.0
44,dzire,2009.0,2.17,Petrol,14.0
45,ertiga,2016.0,7.46,Diesel,15.0
46,ertiga,2015.0,6.98,Diesel,16.0
47,ertiga,2016.0,7.46,Diesel,17.0
48,wagon r,2015.0,3.13,CNG,18.0
49,sx4,2010.0,2.55,Petrol,19.0
50,ritz,2014.0,3.23,Petrol,20.0
51,sx4,2013.0,4.57,Diesel,21.0
52,ciaz,2017.0,6.98,Petrol,22.0
53,wagon r,2011.0,2.74,Petrol,23.0
54,swift,2014.0,4.43,Diesel,24.0
55,vitara brezza,2018.0,8.91,Diesel,25.0
56,ciaz,2015.0,6.5,Petrol,26.0
57,s cross,2015.0,6.26,Diesel,27.0
58,ciaz,2016.0,8.43,Diesel,28.0
59,ciaz,2015.0,7.17,Diesel,29.0
60,baleno,2016.0,5.63,Petrol,30.0
61,alto k10,2014.0,2.46,Petrol,31.0
62,sx4,2008.0,1.88,Petrol,32.0
63,dzire,2014.0,5.3,Diesel,33.0
64,omni,2012.0,1.2,Petrol,34.0
65,ciaz,2014.0,7.22,Petrol,35.0
66,ritz,2013.0,2.55,Petrol,36.0
67,wagon r,2006.0,1.01,Petrol,37.0
68,ertiga,2015.0,5.58,Petrol,38.0
69,ciaz,2017.0,7.46,Petrol,39.0
70,ritz,2012.0,2.99,Diesel,40.0
71,ritz,2011.0,2.26,Petrol,41.0
72,swift,2014.0,4.77,Diesel,42.0
73,ertiga,2014.0,5.78,Diesel,43.0
74,dzire,2014.0,5.3,Diesel,44.0
75,sx4,2011.0,2.84,CNG,45.0
76,dzire,2015.0,4.48,Petrol,46.0
77,800,2003.0,0.34,Petrol,47.0
78,alto k10,2016.0,2.89,Petrol,48.0
79,sx4,2003.0,2.17,Petrol,49.0
80,fortuner,2012.0,14.35,Diesel,50.0
81,fortuner,2015.0,22.15,Diesel,51.0
82,innova,2017.0,17.33,Diesel,52.0
83,fortuner,2013.0,15.41,Diesel,53.0
84,innova,2005.0,2.65,Petrol,54.0
85,corolla altis,2009.0,3.47,Petrol,55.0
86,etios cross,2015.0,4.33,Petrol,56.0
87,corolla altis,2010.0,4.57,Petrol,57.0
88,etios g,2014.0,3.95,Petrol,58.0
89,fortuner,2014.0,19.25,Diesel,59.0
90,etios liva,2014.0,3.8,Diesel,60.0
91,corolla altis,2011.0,4.33,Diesel,61.0
92,corolla altis,2013.0,7.17,Petrol,62.0
93,etios liva,2011.0,2.55,Petrol,63.0
94,etios cross,2014.0,4.72,Diesel,64.0
95,etios g,2015.0,3.8,Petrol,65.0
96,corolla altis,2013.0,5.3,Petrol,66.0
97,corolla,2004.0,1.44,Petrol,67.0
98,corolla altis,2010.0,5.06,Petrol,68.0
99,fortuner,2012.0,13.96,Diesel,69.0
100,corolla altis,2016.0,14.18,Diesel,70.0
101,etios gd,2015.0,4.57,Diesel,71.0
102,innova,2017.0,22.15,Diesel,72.0
103,innova,2015.0,12.04,Diesel,73.0
104,innova,2005.0,3.36,Diesel,74.0
105,camry,2006.0,2.41,Petrol,75.0
106,land cruiser,2010.0,33.7,Diesel,76.0
107,corolla altis,2012.0,5.68,Petrol,77.0
108,etios liva,2013.0,3.32,Petrol,78.0
109,etios g,2014.0,4.57,Petrol,79.0
110,corolla altis,2013.0,6.69,Petrol,80.0
111,etios cross,2015.0,4.33,Petrol,81.0
112,fortuner,2014.0,18.05,Diesel,82.0
113,fortuner,2015.0,22.63,Diesel,83.0
114,fortuner,2017.0,31.78,Diesel,84.0
115,etios liva,2014.0,4.57,Diesel,85.0
116,innova,2017.0,19.02,Petrol,86.0
117,fortuner,2010.0,8.91,Diesel,87.0
118,corolla altis,2011.0,4.19,Petrol,88.0
119,corolla altis,2016.0,13.72,Petrol,89.0
120,baleno,2016,221.78,Petrol,
121,alto k10,2014,96.67,Petrol,
122,sx4,2008,73.93,Petrol,
123,dzire,2014,208.51,Diesel,
124,omni,2012,47.39,Petrol,
125,ciaz,2014,284.33,Petrol,
126,ritz,2013,100.46,Petrol,
127,wagon r,2006,39.81,Petrol,
128,ertiga,2015,219.88,Petrol,
129,ciaz,2017,293.81,Petrol,
130,ritz,2012,117.52,Diesel,
131,ritz,2011,89.09,Petrol,
132,swift,2014,187.66,Diesel,
133,ertiga,2014,227.46,Diesel,
134,dzire,2014,208.51,Diesel,
135,sx4,2011,111.84,CNG,
136,dzire,2015,176.28,Petrol,
137,800,2003,13.27,Petrol,
138,alto k10,2016,113.73,Petrol,
139,sx4,2003,85.3,Petrol,
140,fortuner,2012,564.87,Diesel,
141,fortuner,2015,871.94,Diesel,
142,innova,2017,682.39,Diesel,
143,fortuner,2013,606.57,Diesel,
144,innova,2005,104.25,Petrol,
145,corolla altis,2009,136.48,Petrol,
146,etios cross,2015,170.6,Petrol,
147,corolla altis,2010,180.07,Petrol,
148,etios g,2014,155.43,Petrol,
149,fortuner,2014,757.83,Diesel,
150,etios liva,2014.0,149.75,Diesel,
151,corolla altis,2011.0,170.6,Diesel,
152,corolla altis,2013.0,282.43,Petrol,
153,etios liva,2011.0,100.46,Petrol,
154,etios cross,2014.0,185.76,Diesel,
155,etios g,2015.0,149.75,Petrol,
156,corolla altis,2013.0,208.51,Petrol,
157,corolla,2004.0,56.87,Petrol,
158,corolla altis,2010.0,199.03,Petrol,
159,fortuner,2012.0,549.7,Diesel,
160,corolla altis,2016.0,558.42,Diesel,
161,etios gd,2015.0,180.07,Diesel,
162,innova,2017.0,871.94,Diesel,
163,innova,2015.0,473.88,Diesel,
164,innova,2005.0,132.31,Diesel,
165,camry,2006.0,94.78,Petrol,
166,land cruiser,2010.0,1326.87,Diesel,
167,corolla altis,2012.0,223.67,Petrol,
168,etios liva,2013.0,130.79,Petrol,
169,etios g,2014.0,180.07,Petrol,
170,corolla altis,2013.0,263.48,Petrol,
171,etios cross,2015.0,170.6,Petrol,
172,fortuner,2014.0,710.82,Diesel,
173,fortuner,2015.0,890.9,Diesel,
174,fortuner,2017.0,1251.04,Diesel,
175,etios liva,2014.0,180.07,Diesel,
176,innova,2017.0,748.73,Petrol,
177,fortuner,2010.0,350.67,Diesel,
178,corolla altis,2011.0,164.91,Petrol,
179,corolla altis,2016.0,540.22,Petrol,
